,Command Name,Aim,Description,code
34,cancel-conversion-task,to cancel an active conversion of an instance or a volume,"this example cancels the upload associated with the task id import-i-fh95npoc. if the command succeeds, no output is returned.",aws ec2 cancel-conversion-task --conversion-task-id import-i-fh95npoc
35,cancel-export-task,to cancel an active export task,"this example cancels an active export task with the task id export-i-fgelt0i7. if the command succeeds, no output is returned.",aws ec2 cancel-export-task --export-task-id export-i-fgelt0i7
36,cancel-import-task,to cancel an import task,the following cancel-import-task example cancels the specified import image task.,"aws ec2 cancel-import-task 
    --import-task-id import-ami-1234567890abcdef0"
37,cancel-reserved-instances-listing,to cancel a reserved instance listing,the following cancel-reserved-instances-listing example cancels the specified reserved instance listing.,"aws ec2 cancel-reserved-instances-listing 
    --reserved-instances-listing-id 5ec28771-05ff-4b9b-aa31-9e57dexample"
38,cancel-spot-fleet-requests,to cancel spot fleet requests,this example command cancels a spot fleet request and terminates the associated spot instances.,aws ec2 cancel-spot-fleet-requests --spot-fleet-request-ids sfr-73fbd2ce-aa30-494c-8788-1cee4EXAMPLE --terminate-instances
39,cancel-spot-instance-requests,to cancel spot instance requests,this example command cancels a spot instance request.,aws ec2 cancel-spot-instance-requests --spot-instance-request-ids sir-08b93456
40,confirm-product-instance,to confirm the product instance,this example determines whether the specified product code is associated with the specified instance.,aws ec2 confirm-product-instance --product-code 774F4FF8 --instance-id i-1234567890abcdef0
41,copy-fpga-image,to copy an amazon fpga image,this example copies the specified afi from the us-east-1 region to the current region (eu-west-1).,aws ec2 copy-fpga-image --name copy-afi --source-fpga-image-id afi-0d123e123bfc85abc --source-region us-east-1 --region eu-west-1
42,copy-image, to copy an ami to another region,the following copy-image example command copies the specified ami from the us-west-2 region to the us-east-1 region and adds a short description.,"aws ec2 copy-image 
    --region us-east-1 
    --name ami-name 
    --source-region us-west-2 
    --source-image-id ami-066877671789bd71b 
    --description ""This is my copied image."""
43,copy-snapshot, to copy a snapshot to another region,the following copy-snapshot example command copies the specified snapshot from the us-west-2 region to the us-east-1 region and adds a short description.,"aws ec2 copy-snapshot 
    --region us-east-1 
    --source-region us-west-2 
    --source-snapshot-id snap-066877671789bd71b 
    --description ""This is my copied snapshot."""
44,create-capacity-reservation, to create a capacity reservation,"the following create-capacity-reservation example creates a capacity reservation in the eu-west-1a availability zone, into which you can launch three t2.medium instances running a linux/unix operating system. by default, the capacity reservation is created with open instance matching criteria and no support for ephemeral storage, and it remains active until you manually cancel it.","aws ec2 create-capacity-reservation 
    --availability-zone eu-west-1a 
    --instance-type t2.medium 
    --instance-platform Linux/UNIX 
    --instance-count 3"
45,create-capacity-reservation-fleet,to create a capacity reservation fleet,"the following create-capacity-reservation-fleet example creates a capacity reservation fleet for the instance type specified in the request, up to the specified total target capacity. the number of instances for which the capacity reservation fleet reserves capacity depends on the total target capacity and instance type weights that you specify in the request. specify the instance types to use and a priority for each of the designated instance types.","aws ec2 create-capacity-reservation-fleet 
--total-target-capacity 24 
--allocation-strategy prioritized 
--instance-match-criteria open 
--tenancy default 
--end-date 2022-12-31T23:59:59.000Z 
--instance-type-specifications file://instanceTypeSpecification.json"
46,create-client-vpn-endpoint,to create a client vpn endpoint,the following create-client-vpn-endpoint example creates a client vpn endpoint that uses mutual authentication and specifies a value for the client cidr block.,"aws ec2 create-client-vpn-endpoint 
    --client-cidr-block ""172.31.0.0/16"" 
    --server-certificate-arn arn:aws:acm:ap-south-1:123456789012:certificate/a1b2c3d4-5678-90ab-cdef-11111EXAMPLE 
    --authentication-options Type=certificate-authentication,MutualAuthentication={ClientRootCertificateChainArn=arn:aws:acm:ap-south-1:123456789012:certificate/a1b2c3d4-5678-90ab-cdef-22222EXAMPLE} 
    --connection-log-options Enabled=false"
47,create-client-vpn-route,to create a route for a client vpn endpoint,the following create-client-vpn-route example adds a route to the internet (0.0.0.0/0) for the specified subnet of the client vpn endpoint.,"aws ec2 create-client-vpn-route 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde 
    --destination-cidr-block 0.0.0.0/0  
    --target-vpc-subnet-id subnet-0123456789abcabca"
48,create-customer-gateway,to create a customer gateway,this example creates a customer gateway with the specified ip address for its outside interface.,aws ec2 create-customer-gateway --type ipsec.1 --public-ip 12.1.2.3 --bgp-asn 65534
49,create-default-subnet,to create a default subnet,this example creates a default subnet in availability zone us-east-2a.," aws ec2 create-default-subnet --availability-zone us-east-2a{
   ""Subnet"": {
       ""AvailabilityZone"": ""us-east-2a"",
       ""Tags"": [],
       ""AvailableIpAddressCount"": 4091,
       ""DefaultForAz"": true,
       ""Ipv6CidrBlockAssociationSet"": [],
       ""VpcId"": ""vpc-1a2b3c4d"",
       ""State"": ""available"",
       ""MapPublicIpOnLaunch"": true,
       ""SubnetId"": ""subnet-1122aabb"",
       ""CidrBlock"": ""172.31.32.0/20"",
       ""AssignIpv6AddressOnCreation"": false
   }
 }"
50,create-default-vpc,to create a default vpc,this example creates a default vpc.,aws ec2 create-default-vpc
51,create-dhcp-options,to create a set of dhcp options,"the following create-dhcp-options example creates a set of dhcp options that specifies the domain name, the domain name servers, and the netbios node type.","aws ec2 create-dhcp-options 
    --dhcp-configuration 
        ""Key=domain-name-servers,Values=10.2.5.1,10.2.5.2"" 
        ""Key=domain-name,Values=example.com"" 
        ""Key=netbios-node-type,Values=2"""
52,create-egress-only-internet-gateway,to create an egress-only internet gateway,this example creates an egress-only internet gateway for the specified vpc.,aws ec2 create-egress-only-internet-gateway --vpc-id vpc-0c62a468
53,create-fleet, to create an ec2 fleet that launches spot instances as the default purchasing model,"the following create-fleet example creates an ec2 fleet using the minimum parameters required to launch a fleet: a launch template, target capacity, and default purchasing model. the launch template is identified by its launch template id and version number. the target capacity for the fleet is 2 instances, and the default purchasing model is spot, which results in the fleet launching 2 spot instances.","aws ec2 create-fleet 
    --cli-input-json file://file_name.json"
54,create-flow-logs, to create a flow log,the following create-flow-logs example creates a flow log that captures all rejected traffic for the specified network interface. the flow logs are delivered to a log group in cloudwatch logs using the permissions in the specified iam role.,"aws ec2 create-flow-logs 
    --resource-type NetworkInterface 
    --resource-ids eni-11223344556677889 
    --traffic-type REJECT 
    --log-group-name my-flow-logs 
    --deliver-logs-permission-arn arn:aws:iam::123456789101:role/publishFlowLogs"
55,create-fpga-image,to create an amazon fpga image,this example creates an afi from the specified tarball in the specified bucket.,"aws ec2 create-fpga-image --name my-afi --description test-afi --input-storage-location Bucket=my-fpga-bucket,Key=dcp/17_12_22-103226.Developer_CL.tar --logs-storage-location Bucket=my-fpga-bucket,Key=logs"
56,create-image, to create an ami from an amazon ebs-backed instance,the following create-image example creates an ami from the specified instance.,"aws ec2 create-image 
    --instance-id i-1234567890abcdef0 
    --name ""My server"" 
    --description ""An AMI for my server"""
57,create-instance-event-window, to create an event window with a time range,the following create-instance-event-window example creates an event window with a time range. you can't also specify the cron-expression parameter.,"aws ec2 create-instance-event-window 
    --region us-east-1 
    --time-range StartWeekDay=monday,StartHour=2,EndWeekDay=wednesday,EndHour=8 
    --tag-specifications ""ResourceType=instance-event-window,Tags=[{Key=K1,Value=V1}]"" 
    --name myEventWindowName"
58,create-instance-export-task,to export an instance,"this example command creates a task to export the instance i-1234567890abcdef0 to the amazon s3 bucket
myexportbucket.","aws ec2 create-instance-export-task --description ""RHEL5 instance"" --instance-id i-1234567890abcdef0 --target-environment vmware --export-to-s3-task DiskImageFormat=vmdk,ContainerFormat=ova,S3Bucket=myexportbucket,S3Prefix=RHEL5"
59,create-internet-gateway,to create an internet gateway,the following create-internet-gateway example creates an internet gateway with the tag name=my-igw.,"aws ec2 create-internet-gateway 
    --tag-specifications ResourceType=internet-gateway,Tags=[{Key=Name,Value=my-igw}]"
60,create-ipam,to create an ipam,the following create-ipam example creates an ipam.,"aws ec2 create-ipam 
    --description ""Example description"" 
    --operating-regions ""RegionName=us-east-2"" ""RegionName=us-west-1"" 
    --tag-specifications 'ResourceType=ipam,Tags=[{Key=Name,Value=ExampleIPAM}]'"
61,create-ipam-pool,to create an ipam pool,the following create-ipam-pool example creates an ipam pool.,"aws ec2 create-ipam-pool 
    --ipam-scope-id ipam-scope-02fc38cd4c48e7d38 
    --address-family ipv4 
    --auto-import 
    --allocation-min-netmask-length 16 
    --allocation-max-netmask-length 26 
    --allocation-default-netmask-length 24 
    --allocation-resource-tags ""Key=Environment,Value=Preprod"" 
    --tag-specifications 'ResourceType=ipam-pool,Tags=[{Key=Name,Value=""Preprod pool""}]'"
62,create-ipam-scope,to create an ipam scope,the following create-ipam-scope example creates an ipam scope.,"aws ec2 create-ipam-scope 
    --ipam-id ipam-08440e7a3acde3908 
    --description ""Example description"" 
    --tag-specifications 'ResourceType=ipam-scope,Tags=[{Key=Name,Value=""Example name value""}]'"
63,create-key-pair,to create a key pair,this example creates a key pair named mykeypair.,aws ec2 create-key-pair --key-name MyKeyPair
64,create-launch-template, to create a launch template,"the following create-launch-template example creates a launch template that specifies the subnet in which to launch the instance , assigns a public ip address and an ipv6 address to the instance, and creates a tag for the instance.","aws ec2 create-launch-template 
    --launch-template-name TemplateForWebServer 
    --version-description WebVersion1 
    --launch-template-data '{""NetworkInterfaces"":[{""AssociatePublicIpAddress"":true,""DeviceIndex"":0,""Ipv6AddressCount"":1,""SubnetId"":""subnet-7b16de0c""}],""ImageId"":""ami-8c1be5f6"",""InstanceType"":""t2.small"",""TagSpecifications"":[{""ResourceType"":""instance"",""Tags"":[{""Key"":""purpose"",""Value"":""webserver""}]}]}'"
65,create-launch-template-version,to create a launch template version,this example creates a new launch template version based on version 1 of the launch template and specifies a different ami id.,"aws ec2 create-launch-template-version --launch-template-id lt-0abcd290751193123 --version-description WebVersion2 --source-version 1 --launch-template-data '{""ImageId"":""ami-c998b6b2""}'"
66,create-local-gateway-route,to create a static route for a local gateway route table,the following create-local-gateway-route example creates the specified route in the specified local gateway route table.,"aws ec2 create-local-gateway-route 
    --destination-cidr-block 0.0.0.0/0 
    --local-gateway-route-table-id lgw-rtb-059615ef7dEXAMPLE"
67,create-local-gateway-route-table-vpc-association,to associate a vpc with a route table,the following create-local-gateway-route-table-vpc-association example associates the specified vpc with the specified local gateway route table.,"aws ec2 create-local-gateway-route-table-vpc-association 
    --local-gateway-route-table-id lgw-rtb-059615ef7dEXAMPLE 
    --vpc-id vpc-07ef66ac71EXAMPLE"
68,create-managed-prefix-list,to create a prefix list,"the following create-managed-prefix-list example creates an ipv4 prefix list with a maximum of 10 entries, and creates 2 entries in the prefix list.","aws ec2 create-managed-prefix-list 
    --address-family IPv4 
    --max-entries 10 
    --entries Cidr=10.0.0.0/16,Description=vpc-a Cidr=10.2.0.0/16,Description=vpc-b 
    --prefix-list-name vpc-cidrs"
69,create-nat-gateway, to create a public nat gateway,"the following create-nat-gateway example creates a public nat gateway in the specified subnet and associates the elastic ip address with the specified allocation id. when you create a public nat gateway, you must associate an elastic ip address.","aws ec2 create-nat-gateway 
    --subnet-id subnet-0250c25a1fEXAMPLE 
    --allocation-id eipalloc-09ad461b0dEXAMPLE"
70,create-network-acl,to create a network acl,this example creates a network acl for the specified vpc.,aws ec2 create-network-acl --vpc-id vpc-a01106c2
71,create-network-acl-entry,to create a network acl entry,"this example creates an entry for the specified network acl. the rule allows ingress traffic from any ipv4 address (0.0.0.0/0) on udp port 53 (dns) into any associated subnet. if the command succeeds, no output is returned.","aws ec2 create-network-acl-entry --network-acl-id acl-5fb85d36 --ingress --rule-number 100 --protocol udp --port-range From=53,To=53 --cidr-block 0.0.0.0/0 --rule-action allow"
72,create-network-insights-access-scope,to create network insights access scopes,the following create-network-insights-access-scope example creates an access scope in your aws account.,"aws ec2 create-network-insights-access-scope 
    --cli-input-json file://access-scope-file.json"
73,create-network-insights-path,to create a path,"the following create-network-insights-path example creates a path. the source is the specified internet gateway and the destination is the specified ec2 instance. to determine whether the destination is reachable using the specified protocol and port, analyze the path using the start-network-insights-analysis command.","aws ec2 create-network-insights-path 
    --source igw-0797cccdc9d73b0e5 
    --destination i-0495d385ad28331c7 
    --destination-port 22 
    --protocol TCP"
74,create-network-interface,to create a network interface,this example creates a network interface for the specified subnet.,"aws ec2 create-network-interface --subnet-id subnet-9d4a7b6c --description ""my network interface"" --groups sg-903004f8 --private-ip-address 10.0.2.17"
75,create-network-interface-permission,to create a network interface permission,this example grants permission to account 123456789012 to attach network interface eni-1a2b3c4d to an instance.,aws ec2 create-network-interface-permission --network-interface-id eni-1a2b3c4d --aws-account-id 123456789012 --permission INSTANCE-ATTACH
76,create-placement-group,to create a placement group,this example command creates a placement group with the specified name.,aws ec2 create-placement-group --group-name my-cluster --strategy cluster
77,create-replace-root-volume-task, to restore a root volume to its initial launch state,the following create-replace-root-volume-task example restores the root volume of instance i-0123456789abcdefa to its initial launch state.,"aws ec2 create-replace-root-volume-task 
    --instance-id i-0123456789abcdefa"
78,create-reserved-instances-listing,to list a reserved instance in the reserved instance marketplace,the following create-reserved-instances-listing example creates a listing for the specified reserved instance in the reserved instance marketplace.,"aws ec2 create-reserved-instances-listing 
    --reserved-instances-id 5ec28771-05ff-4b9b-aa31-9e57dexample 
    --instance-count 3 
    --price-schedules CurrencyCode=USD,Price=25.50 
    --client-token 550e8400-e29b-41d4-a716-446655440000"
79,create-restore-image-task,to restore an ami from an s3 bucket,"the following create-restore-image-task example restores an ami from an s3 bucket. use the values for s3objectkey `` and ``bucket from the describe-store-image-tasks output, specify the object key of the ami and the name of the s3 bucket to which the ami was copied, and specify the name for the restored ami. the name must be unique for amis in the region for this account. the restored ami will receive a new ami id.","aws ec2 create-restore-image-task 
    --object-key ami-1234567890abcdef0.bin 
    --bucket my-ami-bucket 
    --name ""New AMI Name"""
80,create-route,to create a route,"this example creates a route for the specified route table. the route matches all ipv4 traffic (0.0.0.0/0) and routes it to the specified internet gateway. if the command succeeds, no output is returned.",aws ec2 create-route --route-table-id rtb-22574640 --destination-cidr-block 0.0.0.0/0 --gateway-id igw-c0a643a9
81,create-route-table,to create a route table,this example creates a route table for the specified vpc.,aws ec2 create-route-table --vpc-id vpc-a01106c2
82,create-security-group,to create a security group for ec2-classic,this example creates a security group named mysecuritygroup.,"aws ec2 create-security-group --group-name MySecurityGroup --description ""My security group"""
83,create-snapshot,to create a snapshot,this example command creates a snapshot of the volume with a volume id of vol-1234567890abcdef0 and a short description to identify the snapshot.,"aws ec2 create-snapshot --volume-id vol-1234567890abcdef0 --description ""This is my root volume snapshot"""
84,create-snapshots, to create a multi-volume snapshot,the following create-snapshots example creates snapshots of all volumes attached to the specified instance.,"aws ec2 create-snapshots 
    --instance-specification InstanceId=i-1234567890abcdef0 
    --description ""This is snapshot of a volume from my-instance"""
85,create-spot-datafeed-subscription,to create a spot instance data feed,the following create-spot-datafeed-subscription example creates a spot instance data feed.,"aws ec2 create-spot-datafeed-subscription 
    --bucket my-bucket 
    --prefix spot-data-feed"
86,create-store-image-task,to store an ami in an s3 bucket,the following create-store-image-task example stores an ami in an s3 bucket. specify the id of the ami and the name of the s3 bucket in which to store the ami.,"aws ec2 create-store-image-task 
  --image-id ami-1234567890abcdef0 
  --bucket my-ami-bucket"
87,create-subnet, to create a subnet with an ipv4 cidr block only,the following create-subnet example creates a subnet in the specified vpc with the specified ipv4 cidr block.,"aws ec2 create-subnet 
    --vpc-id vpc-081ec835f3EXAMPLE 
    --cidr-block 10.0.0.0/24 
    --tag-specifications ResourceType=subnet,Tags=[{Key=Name,Value=my-ipv4-only-subnet}]"
88,create-subnet-cidr-reservation,to create a subnet cidr reservation,the following create-subnet-cidr-reservation example creates a subnet cidr reservation for the specified subnet and cidr range.,"aws ec2 create-subnet-cidr-reservation 
    --subnet-id subnet-03c51e2eEXAMPLE 
    --reservation-type prefix 
    --cidr 10.1.0.20/26"
89,create-tags,to add a tag to a resource,"the following create-tags example adds the tag stack=production to the specified image, or overwrites an existing tag for the ami where the tag key is stack.","aws ec2 create-tags 
    --resources ami-1234567890abcdef0 --tags Key=Stack,Value=production"
90,create-traffic-mirror-filter,to create a traffic mirror filter,"the following create-traffic-mirror-filter example creates a traffic mirror filter. after you create the filter, use create-traffic-mirror-filter-rule to add rules to the filter.","aws ec2 create-traffic-mirror-filter 
    --description ""TCP Filter"""
91,create-traffic-mirror-filter-rule,to create a filter rule for incoming tcp traffic,"the following create-traffic-mirror-filter-rule example creates a rule that you can use to mirror all incoming tcp traffic. before you run this command, use create-traffic-mirror-filter to create the the traffic mirror filter.","aws ec2 create-traffic-mirror-filter-rule 
    --description ""TCP Rule"" 
    --destination-cidr-block 0.0.0.0/0  
    --protocol 6 
    --rule-action accept 
    --rule-number 1 
    --source-cidr-block 0.0.0.0/0 
    --traffic-direction ingress 
    --traffic-mirror-filter-id tmf-04812ff784b25ae67"
92,create-traffic-mirror-session,to create a traffic mirror session,the following create-traffic-mirror-session command creates a traffic mirror sessions for the specified source and target for 25 bytes of the packet.,"aws ec2 create-traffic-mirror-session 
    --description ""example session"" 
    --traffic-mirror-target-id tmt-07f75d8feeEXAMPLE 
    --network-interface-id eni-070203f901EXAMPLE 
    --session-number 1  
    --packet-length 25 
    --traffic-mirror-filter-id tmf-04812ff784EXAMPLE"
93,create-traffic-mirror-target,to create a a network load balancer traffic mirror target,the following create-traffic-mirror-target example creates a  network load balancer traffic mirror target.,"aws ec2 create-traffic-mirror-target 
    --description ""Example Network Load Balancer Target"" 
    --network-load-balancer-arn arn:aws:elasticloadbalancing:us-east-1:111122223333:loadbalancer/net/NLB/7cdec873EXAMPLE"
94,create-transit-gateway,to create a transit gateway,the following create-transit-gateway example creates a transit gateway.,"aws ec2 create-transit-gateway 
    --description MyTGW 
    --options AmazonSideAsn=64516,AutoAcceptSharedAttachments=enable,DefaultRouteTableAssociation=enable,DefaultRouteTablePropagation=enable,VpnEcmpSupport=enable,DnsSupport=enable"
95,create-transit-gateway-connect,to create a transit gateway connect attachment,"the following create-transit-gateway-connect example creates a connect attachment, with the ""gre"" protocol, for the specified attachment.","aws ec2 create-transit-gateway-connect 
    --transport-transit-gateway-attachment-id tgw-attach-0a89069f57EXAMPLE 
    --options ""Protocol=gre"""
96,create-transit-gateway-connect-peer,to create a transit gateway connect peer,the following create-transit-gateway-connect-peer example creates a connect peer.,"aws ec2 create-transit-gateway-connect-peer 
    --transit-gateway-attachment-id tgw-attach-0f0927767cEXAMPLE 
    --peer-address 172.31.1.11 
    --inside-cidr-blocks 169.254.6.0/29"
